run_name,policy,budget,videos_matched,lpips,fvd,vbench_subject,vbench_background,vbench_motion,vbench_dynamic,vbench_aesthetic,vbench_imaging
worldmem_unbounded_60s_n30,Unbounded,,15,0.652269,3077.599804,0.7387,0.8753,0.9725,0.6667,0.3837,0.6201
worldmem_fifo_b16_60s_n30,FIFO,16,15,0.717445,4205.032292,0.6842,0.8321,0.9738,0.8000,0.3526,0.6106
worldmem_fifo_b32_60s_n30,FIFO,32,15,0.688773,3554.909072,0.7247,0.8615,0.9735,0.7333,0.3692,0.6302
worldmem_fifo_b64_60s_n30,FIFO,64,15,0.687605,3821.736563,0.7350,0.8654,0.9736,0.7333,0.3690,0.6327
worldmem_fifo_b128_60s_n30,FIFO,128,15,0.647241,2604.960196,0.7617,0.8816,0.9754,0.6000,0.3864,0.6206
worldmem_rarity_irreplaceability_b16_60s_n30,Latent-RI,16,15,0.565720,1238.743749,0.8094,0.9295,0.9734,0.8667,0.4332,0.6668
worldmem_rarity_irreplaceability_b32_60s_n30,Latent-RI,32,15,0.545953,1160.427844,0.8116,0.9246,0.9750,0.8667,0.4294,0.6493
worldmem_rarity_irreplaceability_b64_60s_n30,Latent-RI,64,15,0.548573,1165.354452,0.8027,0.9223,0.9746,0.8000,0.4311,0.6536
worldmem_rarity_irreplaceability_b128_60s_n30,Latent-RI,128,15,0.566730,1250.560853,0.8028,0.9224,0.9734,0.7333,0.4293,0.6617
worldmem_slam_covisibility_b16_60s_n30,Geometric Coverage,16,15,0.524506,1041.756572,0.8230,0.9346,0.9716,0.7333,0.4409,0.6626
worldmem_slam_covisibility_b32_60s_n30,Geometric Coverage,32,15,0.533678,1116.924792,0.8171,0.9295,0.9739,0.7333,0.4372,0.6598
worldmem_slam_covisibility_b64_60s_n30,Geometric Coverage,64,15,0.545439,1128.461550,0.8102,0.9192,0.9747,0.7333,0.4286,0.6356
worldmem_slam_covisibility_b128_60s_n30,Geometric Coverage,128,15,0.577360,1601.813935,0.7941,0.9063,0.9743,0.6667,0.4135,0.6496
worldmem_kcenter_coreset_b16_60s_n15,K-center,16,15,0.544560,1166.073559,0.7955,0.9156,0.9755,0.8000,0.4218,0.6214
worldmem_kcenter_coreset_b32_60s_n15,K-center,32,15,0.558800,1419.578751,0.7960,0.9158,0.9739,0.7333,0.4304,0.6338
worldmem_kcenter_coreset_b64_60s_n15,K-center,64,15,0.574565,1664.465529,0.7956,0.9119,0.9748,0.7333,0.4214,0.6296
worldmem_kcenter_coreset_b128_60s_n15,K-center,128,15,0.558839,1533.881086,0.8043,0.9189,0.9727,0.7333,0.4246,0.6604
worldmem_mce_b16_60s_n15,MCE,16,15,0.575549,1459.740206,0.7762,0.9059,0.9750,0.7333,0.4113,0.6311
worldmem_mce_b32_60s_n15,MCE,32,15,0.574797,1923.971752,0.7912,0.9030,0.9749,0.8000,0.4154,0.6443
worldmem_mce_b64_60s_n15,MCE,64,15,0.595627,2258.660089,0.7835,0.8990,0.9754,0.8000,0.4027,0.6370
worldmem_mce_b128_60s_n15,MCE,128,15,0.603571,2173.207329,0.7838,0.8986,0.9764,0.8000,0.4057,0.6310
